Description										
Number of Runs	750									
Preset Time	1									
Pause Time	0									
Alarm Level	0									
High Voltage	900									
Step Voltage	0									
Volume	0									
										
Run	High		Elapsed			Mean	N	Frequency	Poisson Dist.	Gaussian Dist.
Number	Voltage	Counts	Time	Date/Time		13.97333333	3	1	0.058250346	0.382037549
518	900	12	1	4/9/25 15:02						
519	900	12	1	4/9/25 15:02						
520	900	14	1	4/9/25 15:02						
521	900	15	1	4/9/25 15:02						
522	900	9	1	4/9/25 15:02						
523	900	10	1	4/9/25 15:02						
524	900	12	1	4/9/25 15:02						
525	900	12	1	4/9/25 15:02						
526	900	16	1	4/9/25 15:02						
527	900	14	1	4/9/25 15:02						
528	900	15	1	4/9/25 15:02						
529	900	14	1	4/9/25 15:02						
530	900	20	1	4/9/25 15:02						
531	900	14	1	4/9/25 15:02						
532	900	17	1	4/9/25 15:02						
533	900	15	1	4/9/25 15:02						
534	900	20	1	4/9/25 15:02						
535	900	11	1	4/9/25 15:02						
536	900	14	1	4/9/25 15:02						
537	900	12	1	4/9/25 15:02						
538	900	9	1	4/9/25 15:02						
539	900	23	1	4/9/25 15:02						
540	900	13	1	4/9/25 15:02						
541	900	14	1	4/9/25 15:02						
542	900	17	1	4/9/25 15:02						
543	900	20	1	4/9/25 15:03						
544	900	22	1	4/9/25 15:03						
545	900	10	1	4/9/25 15:03						
546	900	11	1	4/9/25 15:03						
547	900	13	1	4/9/25 15:03						
548	900	14	1	4/9/25 15:03						
549	900	5	1	4/9/25 15:03						
550	900	11	1	4/9/25 15:03						
551	900	20	1	4/9/25 15:03						
552	900	14	1	4/9/25 15:03						
553	900	10	1	4/9/25 15:03						
554	900	13	1	4/9/25 15:03						
555	900	18	1	4/9/25 15:03						
556	900	15	1	4/9/25 15:03						
557	900	7	1	4/9/25 15:03						
558	900	10	1	4/9/25 15:03						
559	900	17	1	4/9/25 15:03						
560	900	19	1	4/9/25 15:03						
561	900	14	1	4/9/25 15:03						
562	900	16	1	4/9/25 15:03						
563	900	8	1	4/9/25 15:03						
564	900	14	1	4/9/25 15:03						
565	900	14	1	4/9/25 15:03						
566	900	15	1	4/9/25 15:03						
567	900	9	1	4/9/25 15:03						
568	900	12	1	4/9/25 15:03						
569	900	7	1	4/9/25 15:03						
570	900	11	1	4/9/25 15:03						
571	900	15	1	4/9/25 15:03						
572	900	13	1	4/9/25 15:03						
573	900	15	1	4/9/25 15:03						
574	900	10	1	4/9/25 15:03						
575	900	14	1	4/9/25 15:03						
576	900	11	1	4/9/25 15:03						
577	900	16	1	4/9/25 15:03						
578	900	10	1	4/9/25 15:03						
579	900	9	1	4/9/25 15:03						
580	900	7	1	4/9/25 15:03						
581	900	15	1	4/9/25 15:03						
582	900	13	1	4/9/25 15:03						
583	900	21	1	4/9/25 15:03						
584	900	16	1	4/9/25 15:03						
585	900	13	1	4/9/25 15:03						
586	900	15	1	4/9/25 15:03						
587	900	11	1	4/9/25 15:03						
588	900	13	1	4/9/25 15:03						
589	900	15	1	4/9/25 15:03						
590	900	9	1	4/9/25 15:03						
591	900	10	1	4/9/25 15:03						
592	900	13	1	4/9/25 15:03						
593	900	14	1	4/9/25 15:03						
594	900	10	1	4/9/25 15:03						
595	900	15	1	4/9/25 15:04						
596	900	17	1	4/9/25 15:04						
597	900	23	1	4/9/25 15:04						
598	900	13	1	4/9/25 15:04						
599	900	15	1	4/9/25 15:04						
600	900	15	1	4/9/25 15:04						
601	900	16	1	4/9/25 15:04						
602	900	14	1	4/9/25 15:04						
603	900	7	1	4/9/25 15:04						
604	900	12	1	4/9/25 15:04						
605	900	14	1	4/9/25 15:04						
606	900	9	1	4/9/25 15:04						
607	900	18	1	4/9/25 15:04						
608	900	12	1	4/9/25 15:04						
609	900	12	1	4/9/25 15:04						
610	900	19	1	4/9/25 15:04						
611	900	18	1	4/9/25 15:04						
612	900	10	1	4/9/25 15:04						
613	900	20	1	4/9/25 15:04						
614	900	15	1	4/9/25 15:04						
615	900	17	1	4/9/25 15:04						
616	900	8	1	4/9/25 15:04						
617	900	17	1	4/9/25 15:04						
618	900	11	1	4/9/25 15:04						
619	900	8	1	4/9/25 15:04						
620	900	13	1	4/9/25 15:04						
621	900	18	1	4/9/25 15:04						
622	900	11	1	4/9/25 15:04						
623	900	15	1	4/9/25 15:04						
624	900	19	1	4/9/25 15:04						
625	900	13	1	4/9/25 15:04						
626	900	17	1	4/9/25 15:04						
627	900	13	1	4/9/25 15:04						
628	900	11	1	4/9/25 15:04						
629	900	17	1	4/9/25 15:04						
630	900	18	1	4/9/25 15:04						
631	900	13	1	4/9/25 15:04						
632	900	17	1	4/9/25 15:04						
633	900	13	1	4/9/25 15:04						
634	900	11	1	4/9/25 15:04						
635	900	21	1	4/9/25 15:04						
636	900	13	1	4/9/25 15:04						
637	900	8	1	4/9/25 15:04						
638	900	21	1	4/9/25 15:04						
639	900	15	1	4/9/25 15:04						
640	900	15	1	4/9/25 15:04						
641	900	16	1	4/9/25 15:04						
642	900	8	1	4/9/25 15:04						
643	900	13	1	4/9/25 15:04						
644	900	17	1	4/9/25 15:04						
645	900	13	1	4/9/25 15:04						
646	900	21	1	4/9/25 15:04						
647	900	14	1	4/9/25 15:05						
648	900	19	1	4/9/25 15:05						
649	900	18	1	4/9/25 15:05						
650	900	14	1	4/9/25 15:05						
651	900	15	1	4/9/25 15:05						
652	900	18	1	4/9/25 15:05						
653	900	12	1	4/9/25 15:05						
654	900	18	1	4/9/25 15:05						
655	900	16	1	4/9/25 15:05						
656	900	22	1	4/9/25 15:05						
657	900	15	1	4/9/25 15:05						
658	900	15	1	4/9/25 15:05						
659	900	16	1	4/9/25 15:05						
660	900	9	1	4/9/25 15:05						
661	900	19	1	4/9/25 15:05						
662	900	13	1	4/9/25 15:05						
663	900	14	1	4/9/25 15:05						
664	900	18	1	4/9/25 15:05						
665	900	13	1	4/9/25 15:05						
666	900	19	1	4/9/25 15:05						
667	900	7	1	4/9/25 15:05						
668	900	10	1	4/9/25 15:05						
669	900	13	1	4/9/25 15:05						
670	900	7	1	4/9/25 15:05						
671	900	16	1	4/9/25 15:05						
672	900	19	1	4/9/25 15:05						
673	900	18	1	4/9/25 15:05						
674	900	18	1	4/9/25 15:05						
675	900	18	1	4/9/25 15:05						
676	900	18	1	4/9/25 15:05						
